id,fecha,cedente,tipo_cartera,producto,estrategia_o_equipo,canal_gestion,gestores_asignados,horas_laborables,dias_laborados,observaciones,marcaciones_realizadas,gestiones_realizadas,contactos_directos,compromisos_de_pago_generados,compromisos_de_pago_cumplidos,numero_clientes_marcados,clientes_gestionados,numero_clientes_recuperados,tiempo_entre_llamadas,created_at,updated_at
51,2026-05-01,BANCO SOLIDARIO,Administrativo,CASAS COMERCIALES,flujo/mora,VOZ IA,1,2.62,1," ",147,9,2,0,0,147,9,0,01:21,2026-05-01 17:00:26.606672-05,2026-05-01 17:00:26.606672-05
52,2026-05-01,BANCO SOLIDARIO,Administrativo,UNICREDITO,flujo/mora,VOZ IA,1,2.60,1," ",86,4,1,0,0,86,4,0,02:10,2026-05-01 17:00:26.606672-05,2026-05-01 17:00:26.606672-05
53,2026-05-01,BANCO SOLIDARIO,Administrativo,UNICREDITO,preventiva,VOZ IA,1,0.29,1," ",2,0,0,0,0,2,0,0,16:00,2026-05-01 17:00:26.606672-05,2026-05-01 17:00:26.606672-05
